Particle ID,Volume (µm³),Equivalent Diameter (µm),Major Axis Length (µm),Minor Axis Length (µm),Aspect Ratio
1154,101245177.0,578.262781064621,699.2728539842769,495.71452915783664,1.410636188477798
1155,10882256.0,274.94137819404017,387.74331650227856,203.07194340481604,1.9093889091775091
1156,8405265.0,252.26147417653326,363.21457245275667,212.54806374171457,1.7088585332592345
1157,156718595.0,668.9196734259956,989.5914107039292,474.5901645271423,2.0851494292763277
1158,180552812.0,701.2430092893636,898.3724053125125,558.6058668456157,1.6082401897880525
1159,3966380.0,196.39566572975306,236.1955073538835,174.42744886967407,1.3541189123872373
1160,1177935.0,131.03105405027551,173.9834249646427,105.48988721768254,1.6492900841349942
1161,269683227.0,801.5890414652097,1279.092835012152,497.56740336584085,2.570692586290038
1162,21740554.0,346.2772778631356,543.5883929819064,271.40876893729137,2.0028401997118292
1163,161484906.0,675.6333897735199,1025.7810496569643,486.6654405176668,2.1077745906219256
1164,362613647.0,884.7390049240437,1263.4586178322606,740.7010794957941,1.7057604650614457
1165,131709105.0,631.2562999759036,810.2332912191905,477.86290740290264,1.6955350136353122
1166,7714476.0,245.15227998099502,327.94875017413625,202.606279010494,1.618650477052343
1167,82198567.0,539.4549816946901,852.0426737455538,400.5709997236971,2.1270702929899303
1168,21635405.0,345.7181144319508,421.84532470870414,281.2122826548879,1.5000956598556734
1169,1586552.0,144.7055637489717,211.3490880112903,115.85287964948506,1.8242886033625638
1170,4743684.0,208.46782861429392,268.6105350076205,182.44894176079842,1.4722504412208932
1171,44712283.0,440.3615662283668,606.7029284599523,289.4198690926795,2.0962725550320487
1172,8571640.0,253.91504442188304,315.7512334776556,185.59276440617043,1.7013121954831865
1173,34930764.0,405.5737335736455,585.4746533649208,256.67546799801227,2.2809918607782755
1174,6203791.0,227.97445108909133,384.89990388478833,183.9675609674508,2.092216159526561
1175,57431319.0,478.68526166827974,580.5033247968994,392.4867122839126,1.479039434020333
1176,15114836.0,306.76203184965226,423.4938636489827,233.60807504444455,1.8128391476553707
1177,10183481.0,268.9258469404088,316.34599330849363,243.75010471395706,1.2978291585955564
1178,168018785.0,684.6255022090977,884.4144625685452,528.1514370827796,1.674547109922806
1179,14361490.0,301.5784415605253,425.88726236964357,240.77956481354994,1.7687849161926745
1180,7174090.0,239.2889989087001,344.8177944805877,203.6094774052775,1.6935252664798113
1181,20066156.0,337.1489830019346,445.2280588259757,252.02199914666858,1.7666237881355251
1182,67568215.0,505.3372057017484,663.1133533333975,378.26831453254766,1.7530237872364556
1183,44334279.0,439.11709285536546,638.7973379878355,298.71761308599605,2.138465594273264
1184,25414114.0,364.77532281160745,493.64326534365586,313.1794376228753,1.5762314061566571
1185,13074413.0,292.28589580297984,350.70448772424834,254.01998954360988,1.380617676405501
1186,154582340.0,665.8663758622138,879.0386293792973,528.5653918446399,1.6630650491730856
1187,4794262.0,209.20611786015263,334.4162218117738,169.5905103383563,1.971904095014324
1188,11358754.0,278.89711633964214,378.82966366815697,238.480711856599,1.5885128013872725
1189,171286390.0,689.0352040269748,813.2277967588831,582.3995479600514,1.3963400205363223
1190,15463558.0,309.10327162568353,335.1458037986897,287.11159335093794,1.1673015355706633
1191,288637998.0,819.9454503421617,1049.1286240815061,706.9516442221225,1.4840175175430705
