Particle ID,Area,Equivalent Diameter,Major Axis Length,Minor Axis Length,Aspect Ratio
54,5.878577100170999e-09,0.0022391913033975868,0.002866489398487804,0.001962441389062071,1.4606751643460871
55,2.982742332510999e-09,0.0017859626486864055,0.0020434207608594655,0.001593224280997731,1.2825694318315348
56,4.798629729589999e-09,0.0020926962978368513,0.002595415916607917,0.001688332765981439,1.5372656202044297
57,5.460018149190999e-09,0.0021847336002947023,0.0029213746583411503,0.0018390462962278916,1.5885269796270198
58,4.075396554379999e-09,0.0019817874957845424,0.0026527860967979645,0.001681181220428655,1.5779298891535185
59,3.848220740821999e-09,0.0019442575073058902,0.002547947967337025,0.0016117392442015954,1.5808686029725596
60,3.555068033080999e-09,0.0018935775585062929,0.002099384212400463,0.0017256777184558097,1.216556365043096
61,2.9165012957849995e-09,0.0017726426072681698,0.0031292493087222996,0.0012564777146289027,2.490493283159037
62,5.830952082962998e-09,0.0022331279987628846,0.0038886420079198144,0.0016072864693745688,2.419383278596859
63,3.884859917949999e-09,0.0019504084973638034,0.002462600663716009,0.0015300357528406667,1.6095053067511271
64,1.3398772484879997e-09,0.001367798522090108,0.0019781202836187443,0.0009498561489875957,2.082547221205152
65,4.653516274147999e-09,0.0020713852127995833,0.003197951358767729,0.0015848579788405243,2.0178157295250756
66,2.0693074645079995e-09,0.0015810373656839022,0.0023879539003511916,0.0011075921571849993,2.1559866462221033
67,4.411158683147999e-09,0.002034782620420625,0.0028817718096101983,0.0015288470442977762,1.8849314065514264
68,3.0575312397779992e-09,0.0018007665999716482,0.0023660423864245777,0.0014115354626778086,1.676218875816258
69,5.938097479204998e-09,0.0022467231837641185,0.0033043379136028688,0.0016230334466829223,2.035902538149239
70,4.9985354514479985e-09,0.0021213616729616777,0.0026816443982041454,0.0018109657265206077,1.480781418959466
71,3.5424957816749993e-09,0.0018913427534757799,0.0020881419251001917,0.0017925337109547688,1.164910825575476
72,2.4061833489469994e-09,0.0016625575912534926,0.0024638992418016146,0.0014101685747385218,1.7472373771047047
73,3.601680439037999e-09,0.0019018175538096573,0.0023478091652139777,0.0016039115322161047,1.4638021599421003
74,4.6406829923349985e-09,0.0020694793318607606,0.0026545159277401075,0.0015238154473461122,1.7420193057914142
75,4.4324993777339986e-09,0.0020380586935849587,0.0032510043943124512,0.0014945852953964804,2.175188264146565
76,2.7316668705409995e-09,0.0017343751316286778,0.0024428344879357158,0.001213920163933673,2.0123518502401194
77,3.5448742316129993e-09,0.0018917659445387377,0.002435458508316421,0.0016409153942784952,1.4842072399395603
78,3.3488197780549992e-09,0.0018562268535587062,0.0030610073165772875,0.0012963330047833053,2.3612816346436887
79,2.774601120762999e-09,0.0017434144651624502,0.0021789614324823838,0.0013988017248999106,1.5577343047945529
80,2.838820047122999e-09,0.0017567626132654484,0.002195228292120788,0.0014082000355960427,1.558889530344049
81,3.0206119704099994e-09,0.0017934892267617625,0.0025614602920120723,0.0012540882866466131,2.0424880124359706
82,2.7710575649099994e-09,0.0017426719538198754,0.0022928343863350474,0.001428400982465108,1.6051755875847384
83,3.653443819091999e-09,0.0019108852303477458,0.0025904695568668714,0.0014498935489219583,1.7866618958288127
84,3.440800124585999e-09,0.0018730682731485577,0.002733175546687003,0.001265588445651237,2.1596084857432354
85,2.6869972154819994e-09,0.0017248693219796972,0.0025976679662104516,0.001362306211639424,1.9068165027922546
86,2.5520281563489993e-09,0.0016954914852779046,0.0022956262123164104,0.001356559331769823,1.6922416576659733
87,2.1202760828309995e-09,0.0015939129435329684,0.0021928545576676566,0.0014224263156349482,1.541629632104213
88,4.920977910191999e-09,0.0021103327126736873,0.0027291559155694007,0.001789059508440368,1.5254696127735696
89,3.166998678492999e-09,0.0018220057922369072,0.0029236496366541634,0.0013483143715350432,2.168373858780142
90,4.692775869787999e-09,0.002077194018834246,0.0025640435146093397,0.0018316626841317757,1.399844816855413
91,3.5471453128589993e-09,0.0018921698551520672,0.0031752629927644894,0.0014003537444885463,2.267472062156835
92,3.4090116004309992e-09,0.0018672821783770183,0.002789771356523706,0.0013295665173522363,2.098256326490075
93,5.611193656543999e-09,0.0022047137556221413,0.003984361675758763,0.0015990754152074827,2.4916658950958768
94,6.080796306127998e-09,0.00226457796818362,0.0033671789715831527,0.0016823139847946796,2.001516364969233
95,3.864188721620999e-09,0.0019469429929116512,0.00252430336023461,0.0015565574628050765,1.6217219219684673
96,2.1749302482119996e-09,0.0016074923087892022,0.0020033227067312565,0.0012907989325232076,1.5520021408874525
97,4.761022678165999e-09,0.0020872151060800904,0.003611956211324703,0.0014000868982700302,2.57980859315782
98,2.977010945049999e-09,0.0017848179965466835,0.002434420504618103,0.001244615847830435,1.9559613585683393
99,4.108387919098999e-09,0.001987120820186608,0.002818981342224492,0.0015383614791152846,1.8324570528415045
100,2.781722465964999e-09,0.001744904751381314,0.002485829381113873,0.0014581741174798455,1.7047548377899604
101,4.110056023994999e-09,0.0019873897235063434,0.0028246328674051855,0.0016542209736545117,1.7075305611468552
102,3.4475888602529994e-09,0.001874299325162279,0.0022789445956549804,0.0016672812358011998,1.3668627384028886
103,3.2371263840659992e-09,0.0018353561203512214,0.002568054390710608,0.001403736225034184,1.8294422733502302
104,2.1847856048899995e-09,0.0016099166840070462,0.002275438939997957,0.0012512072899883723,1.8185946950637595
105,3.640791430183999e-09,0.0019086767910536215,0.002651238804478023,0.001363040598606769,1.9450915894860248
106,2.3339148828229996e-09,0.0016457434313365523,0.0020970327369423778,0.0012330312253727457,1.7007134075687695
107,3.7160471578509992e-09,0.0019217380896682775,0.0027961599374115376,0.001517917377325193,1.8421028569676219
108,3.481375375719999e-09,0.0018804021696629128,0.0025915644322140226,0.0014884920620375206,1.7410670156121375
109,2.7933848066079993e-09,0.0017473398494555652,0.0023758641580870947,0.0013371965595858663,1.776750127762
110,3.3471007119319992e-09,0.0018559091771750747,0.0032261723538938116,0.0014298456869371661,2.2563080641271913
