Particle ID,Volume (µm³),Equivalent Diameter (µm),Major Axis Length (µm),Minor Axis Length (µm),Aspect Ratio
33,13469626.0,295.20177984450964,401.69469254845507,249.44283589123884,1.6103677265904743
34,28251577.0,377.87488173614156,486.3315872836473,309.7898487222415,1.5698758022238928
35,18583742.0,328.6332600553359,439.9138969484652,254.94291380546468,1.725538828995041
36,17755581.0,323.6771850882126,503.8932877412046,183.9109107481196,2.7398770724991186
37,16025656.0,312.8040719876479,429.13452313271665,244.75765399623188,1.7533037930626811
38,12167211.0,285.3628753814231,381.2729744060781,234.18213700654732,1.628104428799445
39,11952363.0,283.6732497993902,358.0007083136136,210.7475598171328,1.6987181660573123
40,14521614.0,302.6951218778471,325.6920531479908,276.0597195939267,1.179788393710866
41,24567574.0,360.67929893580987,430.31141381631306,277.77393482420155,1.549142521556783
42,12920080.0,291.1312735216903,354.1831081400333,258.5509228719522,1.3698775630185747
43,10638205.0,272.870494271228,372.7591504795769,212.80559342849912,1.7516416954746108
44,5651920.0,221.0034879401419,263.46980415343495,185.2142043541682,1.4225140294835363
45,22978982.0,352.731344861885,429.0261914349679,304.75071300280644,1.407793889004017
46,9485016.0,262.6312990579906,349.0475550636969,206.48635732024712,1.6904146094375934
47,20751969.0,340.94701763065484,406.166248159155,285.78147645400605,1.4212476371768055
48,15654991.0,310.3735712168,451.83242484370027,223.78301642841726,2.019064860483863
49,27133680.0,372.8235683631912,513.20680913828,312.9375475841645,1.6399655877032562
50,14879977.0,305.1648762294222,460.68968862218,246.5755680231765,1.8683509169849226
51,3112065.0,181.14096581026084,233.10856685271392,159.83608891215923,1.4584226155635158
52,15156623.0,307.04446671827674,405.5523062678289,238.29135009851825,1.7019178669312123
53,20247950.0,338.16408346755213,476.36531588906615,261.52437021511776,1.8214949356238972
54,22417566.0,349.83501691419553,399.3053304467813,292.8213090740636,1.3636484711766128
55,22495853.0,350.241777020833,454.4716115114353,309.19672959553503,1.4698461141744175
56,7680135.0,244.7879736433945,265.05526924486264,222.4585204214043,1.1914817591287001
57,16586725.0,316.41277335747867,386.10473878977433,267.15627343485966,1.4452392744725036
58,18351038.0,327.25578873621083,409.21600203048956,280.00567178908005,1.4614561177130005
59,15014379.0,306.0809147934516,415.5668460605874,224.8551391472195,1.848153649663765
60,8221881.0,250.41337494500857,315.7420334727239,203.2627210747065,1.553369116596039
61,16084224.0,313.18467078182266,383.0545001611275,245.3505463383139,1.5612539115072261
62,17634413.0,322.93922236547496,366.1904280668868,284.4130468965279,1.2875303438527217
63,9869459.0,266.1327009778026,365.1260416481821,203.02842481196592,1.7983986330305342
64,19068035.0,331.4635464347606,379.4008422186685,305.533935902211,1.2417633448747223
65,14931017.0,305.5133946990408,326.4622676685999,290.9391787649748,1.1220979898768504
66,28280024.0,378.0016687689109,457.39905489782103,340.13782015321004,1.3447462404850845
67,9759130.0,265.13729853221105,378.6628040758812,213.43857550809264,1.7741066870150846
68,15474214.0,309.1742567586148,379.917654386819,233.32253883451685,1.6282938471549642
69,15102161.0,306.6762596957583,386.50406537010167,265.6502369442719,1.4549358954691332
70,11151260.0,277.18843503236275,295.81062474691936,254.46719043921826,1.1624705889837548
71,19967969.0,336.5981751588622,462.40235575265734,294.23619775299824,1.5715345674118217
72,18533143.0,328.3347261900402,495.69919533061415,233.6952165053237,2.1211353948244884
73,12935158.0,291.2444815625522,520.5242143439975,185.1008835718538,2.8121109110856115
74,17562428.0,322.49920235925094,445.2760730034696,267.65869379327273,1.663596525459324
75,14237661.0,300.7091723152008,449.99049351618913,242.87292017467385,1.8527816653769247
76,28779049.0,380.21210427951803,448.52445929837927,311.0433984307171,1.441999610219296
77,12531651.0,288.18401635647314,332.27530157118133,245.95336952940164,1.3509686905568523
78,9682607.0,264.44248373417105,610.4899175959447,122.85394775690061,4.969233213441071
79,37697088.0,416.0093199812726,633.5757024155347,297.5476407820027,2.1293252426750775
80,15231104.0,307.546593099835,398.2558896414527,251.6743075690649,1.5824256893293036
81,12132278.0,285.0895140016685,391.9080650053645,249.61455650571892,1.5700529267666548
82,26100279.0,368.0291137251547,514.7960815090091,270.56739350734534,1.9026538077472868
83,13774469.0,297.4121783299067,367.00015111530365,252.74964422151768,1.4520303371570853
84,32670851.0,396.63156621678934,480.837593818987,338.4945549660147,1.420517957422576
85,9310167.0,261.00747760089155,310.6243536018136,232.80374362205802,1.3342755952674556
86,11876116.0,283.06875592455356,361.84261002367447,236.89657237606497,1.527428642780285
87,16072899.0,313.11114844574587,356.60820806230174,259.7381653837341,1.3729526715315516
88,22390032.0,349.69173190215474,454.9585794522175,287.08512499973995,1.5847514894846246
89,13274460.0,293.7690780470217,323.74471787595604,265.84266918465994,1.2178057001491966
90,17528764.0,322.29301300118374,390.16603562262105,255.83220523126784,1.5250856914981357
91,11194593.0,277.5470157807173,352.58162818665073,243.73132599299055,1.446599556910426
92,12489201.0,287.85824787382813,396.6161796184086,210.82609184822113,1.8812480758024122
93,13207187.0,293.271977942513,479.6814194695872,207.7889214338038,2.3085033415624197
94,26104842.0,368.0505594600558,450.88578378711554,336.03466314535797,1.3417835516334118
95,15084756.0,306.5584012393404,364.60745395752593,268.79400577026485,1.3564567889551515
96,21962088.0,347.44948185404525,475.9370787142603,287.04085336491175,1.6580813258285814
97,11752007.0,282.079249659636,347.96780903877794,265.10011921932835,1.3125901642876656
98,12556647.0,288.3754958768795,366.814153840361,227.10798971705339,1.6151530128788645
99,9335505.0,261.2440439614179,297.8501616230736,241.62799244428115,1.2326806948568143
100,19778444.0,335.5298529873988,382.7387987742119,298.87946766358124,1.2805790968719963
101,21027701.0,342.45043606822037,519.9295291787098,274.42149210269343,1.8946385182693448
102,10898988.0,275.0822179676253,319.86505901171193,243.9346717279835,1.3112734518051619
103,21700721.0,346.0656657243563,484.47017125263915,265.80174139412316,1.8226749332476373
104,25320640.0,364.3275545953143,488.81125584713254,276.31654219206655,1.7690263925905738
105,16956707.0,318.7481194550184,373.7827541042638,263.9027613434789,1.4163654529471639
106,16349546.0,314.8973639196948,454.8134686533863,243.26521859703195,1.8696197971761155
107,16944347.0,318.6706538561767,464.03375509481174,206.51511760342004,2.246972330548294
108,6280509.0,228.91033801503207,334.49606712457677,153.11452745803746,2.1846135221639806
109,8291369.0,251.11686085023956,422.6035787471633,157.00403968366174,2.6916732817744213
110,3645007.0,190.94131746069496,263.9561292995169,120.7359668742032,2.1862261605486384
111,6527677.0,231.87468917399949,361.4242822824374,113.3927306094755,3.187367305997616
112,4806298.0,209.38104228837184,386.70762755044063,139.4878724041821,2.772338705044629
113,1881782.0,153.17582539810547,269.7622252870819,65.42242298058899,4.12339092618323
114,1633056.0,146.10580959626847,256.1406901228649,69.87150388687131,3.6658820244885715
115,609375.0,105.18698417087502,227.64597636073518,38.83306851521491,5.862168122808601
116,387956.0,90.4887558133601,219.06613178506,31.571163922537433,6.938804420469185
