Particle ID,Area (µm²),Equivalent Diameter (µm),Major Axis Length (µm),Minor Axis Length (µm),Aspect Ratio
25,4.0788219999999996e-11,0.00042708276288103933,0.0009264367262051854,0.00023998767902984477,3.860351206154938
26,4.5742866999999996e-11,0.00044371923232500355,0.0005818427951545121,0.0003751967333739644,1.5507672199655862
27,4.8255028999999996e-11,0.0004516978113221875,0.000676616672066006,0.0003525234559471842,1.9193522038073354
28,3.879468399999999e-11,0.0004200082929040121,0.0005483234628021778,0.0003431748086108943,1.5977963680425318
29,3.0078438e-11,0.0003858503385415853,0.0004479788269171713,0.00033480765903460825,1.3380184557572048
30,5.220413199999999e-11,0.0004636982095023622,0.0006164058584415979,0.00036755140139973195,1.6770602862461224
31,1.7177928e-11,0.00032012828788326517,0.0005279351974636961,0.00017561417182259125,3.0062220604668863
32,2.0461340999999998e-11,0.0003393478929587823,0.00043590255204619923,0.00027380201010516976,1.592035616826791
33,1.5503461999999997e-11,0.00030936892550192995,0.0004234516211999986,0.0002477218016153231,1.7093837459553076
34,2.2547367999999998e-11,0.00035050892181672525,0.0005459956300546987,0.00026689186145714726,2.045756011718495
35,1.7626512999999998e-11,0.0003228909908966377,0.0007622122886556368,0.00018598569704833293,4.098230674467173
36,1.9287145e-11,0.0003327283255189017,0.00042700130918683633,0.0002625103144980755,1.6266077392169165
37,3.4680735999999995e-11,0.0004046037414122775,0.0006498174436240007,0.00030114009206676717,2.1578576242180554
38,2.7983103999999995e-11,0.0003766740960750467,0.0005161531857444578,0.0002773259376885725,1.8611789075570713
39,1.9255830999999997e-11,0.0003325481589094898,0.0004829591583533499,0.00024886539028034783,1.9406441281742492
40,1.3184846e-11,0.00029310652037415903,0.00044347828079202095,0.00019021947539259325,2.331403132495912
41,2.5755097999999998e-11,0.0003663994908313364,0.0006502597985505548,0.00025111328072404716,2.589507797738252
42,3.5912202999999994e-11,0.00040933713133613263,0.0005527888411867099,0.0003378736623172286,1.6360814790816636
43,1.6512146999999998e-11,0.00031593783758723033,0.0004261014421687885,0.000271552788480036,1.5691293193997697
44,1.0797431999999998e-11,0.0002742251515120523,0.00041569978820513235,0.00020370885477177214,2.040656448983855
45,1.3747011999999998e-11,0.0002972144337910877,0.00041473329907535945,0.000264275076075569,1.5693243011564482
46,1.7730005e-11,0.0003235216969682831,0.000519503208470162,0.00022331248547398605,2.3263509309275925
47,2.5360354999999998e-11,0.00036451793565046007,0.00044832540905510816,0.0003220160831532163,1.3922453955251468
48,1.4662758999999997e-11,0.00030367265842339903,0.0004244584121255197,0.00022278056963085453,1.9052757286187192
49,2.8096137999999995e-11,0.00037718058956575675,0.0005841599432314866,0.0002778637725092382,2.102324955701323
50,1.7896305999999998e-11,0.0003245300561216252,0.0004351313713231938,0.00024379101681444096,1.784853999170895
51,1.9173690999999998e-11,0.00033207463241963426,0.0006527546779246744,0.00019486668319339492,3.3497500302647922
52,8.432390999999999e-12,0.0002525325541364792,0.00031223507349391333,0.0002058144123638945,1.5170709859806104
53,2.2134634e-11,0.00034835702606537554,0.00043087770012160633,0.00029515838801820774,1.4598185842342597
54,1.5497278999999998e-11,0.0003093277931318316,0.0004193449932506996,0.00025724378745635646,1.6301462414202907
55,3.1492975e-11,0.0003918065470194367,0.00058994245961575,0.00028860470609119157,2.0441193340393538
56,1.6794065e-11,0.00031772574191228723,0.0004263544948306676,0.0002675217104722118,1.5937192315273947
57,2.5901662999999996e-11,0.0003670932019794722,0.00048183008009422036,0.0003133344782449688,1.5377499558715002
58,1.3642795999999998e-11,0.000296461467661644,0.0005015384992156446,0.0002247877912490734,2.2311643191507713
59,2.5654619999999998e-11,0.00036592239347545336,0.0006486367537172545,0.00027408646987786024,2.366540581176091
60,2.1124544999999997e-11,0.00034297535455127406,0.0005416728404431296,0.00023889925980164116,2.2673692705991737
61,8.917298e-12,0.00025728327341800945,0.0005123450029075173,0.00017029667559076637,3.0085437729783675
62,1.2445327999999999e-11,0.00028752078240774155,0.0005114441811948861,0.00021988964127957723,2.325913027183549
63,2.2945822999999998e-11,0.0003525615977263539,0.0004241638600481151,0.00032503630499314707,1.3049737937953054
64,2.8720865999999998e-11,0.00037995570472919077,0.0006131757415287245,0.0002609415850609664,2.3498582695642862
65,2.3582733999999996e-11,0.0003557939099127649,0.0004494427809115552,0.0002646114172361391,1.698501091169746
66,2.1760819999999996e-11,0.00034638484144961553,0.000515193557365908,0.00024431729219334843,2.1087068898839663
67,1.1447309999999998e-11,0.0002796200273622066,0.0003289339407602903,0.00024862755152811047,1.3229987535114354
68,3.7527961e-11,0.0004153862489393371,0.0005930279110897816,0.0002890172011637593,2.0518775654247916
69,9.919258999999998e-12,0.00026657957380480567,0.0004210820535798351,0.00017970420867617786,2.3431952800761255
70,2.4269627999999996e-11,0.00035921530513342105,0.00045409015504740133,0.00027680208773796396,1.640486741838696
71,1.5719886999999998e-11,0.0003108018528441271,0.0005330771467893185,0.00023700291286046318,2.249243017123468
72,1.5283393e-11,0.0003078981311156073,0.0004651936910727839,0.0002492632410192076,1.8662747430012645
73,1.5557539999999998e-11,0.0003097282138164634,0.0005395620632252287,0.00022421754972061085,2.4064220838090367
74,3.3318282e-11,0.00039923443426494626,0.0006196325238692348,0.0002557405924649369,2.4228946914408556
75,3.3014034999999994e-11,0.0003980155089785433,0.0006253261090886417,0.0003449196216649933,1.8129618317162486
76,1.5104042e-11,0.0003066889915181909,0.0005591938470041449,0.00014216721028031552,3.933353168438524
77,3.2212253999999994e-11,0.0003947669905501205,0.0005071757680385655,0.00034332647274985426,1.4772404935056986
78,8.553833999999999e-12,0.00025373910199003366,0.0004759923971775938,0.00014385509812948346,3.3088323136741025
79,1.4217679999999999e-11,0.0003005684356471722,0.000504437528137355,0.00022209864669860303,2.271231885630971
80,1.3359680999999998e-11,0.0002943963957178668,0.0004993731691603153,0.0002346273256523214,2.1283674771126324
81,1.4714513999999998e-11,0.0003040295290291807,0.0004222958155825034,0.00023958920880234362,1.762582787820336
82,1.8305748999999998e-11,0.00032698635263113813,0.00039708022254977257,0.0002622295936446962,1.514246416778535
83,1.3773045999999999e-11,0.00029740193638387407,0.0005148026406000678,0.00020543650329272957,2.505896626689161
84,5.3962159999999995e-12,0.00021761904544607692,0.00033787537669532696,0.00015414238259687997,2.1919693403141025
85,2.1795639999999995e-12,0.00016086331019577577,0.0002816377312925292,7.837019774589852e-05,3.593684071152782
